Month,Soliders,Tanks,Planes,UAV,Cisterns,Artillery Systems,Armored fighting vehicle
Feb_2022,5300,191,29,3,291,74,816
Mar_2022,17500,614,135,83,402,311,1735
Apr_2022,23200,1008,190,232,630,436,2445
May_2022,30500,1358,208,515,900,649,3302
Jun_2022,35600,1573,217,641,2235,790,3726
Jul_2022,40830,1763,223,735,2902,916,4004
Aug_2022,47990,1974,234,849,3236,1091,4312
Sep_2022,59080,2338,264,1003,3768,1391,4932
Oct_2022,71820,2686,275,1413,4128,1728,5485
Nov_2022,88880,2914,280,1562,4429,1902,5872
Dec_2022,105960,3029,283,1746,4707,2016,6075
Jan_2023,127500,3201,293,1951,5048,2197,6378
Feb_2023,149240,3388,300,2051,5252,2383,6630
Mar_2023,173360,3615,306,2248,5521,2675,6977
Apr_2023,190510,3699,308,2475,5842,2914,7189
May_2023,207910,3802,313,3124,6230,3460,7472
Jun_2023,228340,4041,315,3519,6785,4127,7863
Jul_2023,246190,4211,315,4017,7292,4816,8188
Aug_2023,263020,4436,315,4417,7976,5507,8604
Sep_2023,278130,4691,315,5006,8854,6447,8984
Oct_2023,300810,5211,321,5440,9590,7227,9804
Nov_2023,328760,5551,323,2954,10361,7909,10340
Dec_2023,359230,5977,329,6591,11292,8464,11070
Jan_2024,385230,6310,332,7100,12231,9195,11757
Feb_2024,413760,6193,342,1168,13152,10070,15552
